,name,number_reviews,rating,address,city
98,Don Kilo Gourmet,389,5.0,Carrer Corsega 398  Barcelona,Barcelona
99,Oporto Restaurante,901,4.5,Carrer Sardenya 296 Barcelona,Barcelona
100,König Barcelona Centro,957,4.0,Rambla de Catalunya 5 Barcelona,Barcelona
101,bicos,483,4.5,Avenida Diagonal 287  Barcelona,Barcelona
102,Ristorante Margherita,2439,4.5,Carrer del Rosselló 253 Barcelona,Barcelona
103,Can Xurrades Gastronomic,551,4.5,Casanova 212 Barcelona,Barcelona
104,Ikibana Sarriá,999,4.0,Carrer  Doctor Fleming 11 Barcelona,Barcelona
105,El Quim de la Boqueria,1593,4.5,Rambles 91  Barcelona,Barcelona
106,Restaurant Montiel,2531,4.5,Carrer  Flassaders 19  Barcelona,Barcelona
107,Restaurante Lasarte,1093,4.5,Carrer  Mallorca 259 Barcelona,Barcelona
108,Giorgio Barcelona,745,4.5,Carrer  Ausias Marc 3 Barcelona,Barcelona
109,Copasetic Barcelona,890,4.5,Diputacio 55 Barcelona,Barcelona
110,Boca Grande,2231,4.0,Passatge de la Concepcio 12  Barcelona,Barcelona
111,Restaurant Etapes,1226,4.5,Enric Granados 10 Barcelona,Barcelona
112,Telefèric,1397,4.5,Plaza Doctor Letamendi 27 Barcelona,Barcelona
113,Makamaka,2124,4.5,Passeig de Joan de Borbo 76 Barcelona,Barcelona
114,Can Dendê,963,4.5,Carrer Ciutat de Granada 44 Barcelona,Barcelona
115,Bo Kaap,799,4.5,Paseo Maritimo s n Playa de Sant Miquel Barcelona,Barcelona
116,Mako,299,4.5,Consell de Cent 255  Barcelona,Barcelona
117,Asador de Aranda Tibidabo,1719,4.0,Av  del Tibidabo 31  Barcelona,Barcelona
118,Terrazza Ravello,828,4.5,Plaza Pau Vila 1 Barcelona,Barcelona
119,El Dorado Chicken,652,4.5,Carrer De Balmes 122 Barcelona,Barcelona
120,Tandoori Nights,948,4.5,Carrer Carretes 44  Barcelona,Barcelona
121,The Benedict,1507,4.5,Carrer D en Gignas 23  Barcelona,Barcelona
122,Recasens,1149,4.0,Rambla del Poblenou 102  Barcelona,Barcelona
123,Taller de Tapas - Rambla Catalunya,4024,4.0,Rambla Catalunya 49  Barcelona,Barcelona
124,Chen Ji,675,4.0,Ali Bei 65  Barcelona,Barcelona
125,Pura Brasa Arenas,2757,4.0,Gran Via de les Corts Catalanes 373 385  Barcelona,Barcelona
126,La Alcoba Azul,1330,4.5,Carrer de Salomó ben Adret  Barcelona,Barcelona
127,Foc i Oli,993,4.5,Carrer Aribau 91 Barcelona,Barcelona
128,O' Retorno Restaurant,909,4.0,Comte D urgell 168 Barcelona,Barcelona
129,Mayura,1172,4.0,Carrer Girona 57 Barcelona,Barcelona
130,Mont Bar,1057,4.5,Diputacio 220  Barcelona,Barcelona
131,Sushifresh,483,4.5,Via augusta 65 local 1  Barcelona,Barcelona
132,Pulpería Can Lampazas,870,4.0,Avinguda del Paral lel 159 Barcelona,Barcelona
133,murivecchi,987,4.0,Carrer  princesa 59  Barcelona,Barcelona
134,Irati Taverna Basca,1940,4.5,Carrer del Cardenal Casañas 17 Barcelona,Barcelona
135,Tapa Tapa,3783,3.0,Passeig de Gracia  Barcelona,Barcelona
136,"La Tagliatella C/ Josep Tarradellas, Barcelona",1253,3.5,Josep Tarradellas 116  Barcelona,Barcelona
137,Velodromo,1055,4.0,Muntaner 213  Barcelona,Barcelona
138,Chilango's Taqueria Barcelona,502,4.5,Carrer Nou de la Rambla 95  Barcelona,Barcelona
139,Restaurante Los Caracoles,4869,3.5,Carrer d Escudellers 14 Barcelona,Barcelona
140,1881 per Sagardi,1041,4.0,Plaça de Pau Vila 3 Barcelona,Barcelona
141,Merendero de la Mari,1326,3.5,Placa Pau Vila 1 Port Vell  Barcelona,Barcelona
142,Dos Palillos,1284,4.0,Elisabets 9 Barcelona,Barcelona
143,Brunch & Cake,3008,4.0,Enric Granados 19 Barcelona,Barcelona
144,Restaurante Barceloneta,3390,4.0,Carrer  de l Escar 22 Barcelona,Barcelona
145,Agust Gastrobar,1923,4.5,Carrer Parlament 54  Barcelona,Barcelona
146,Restaurante Rokelin Gourmet,837,4.5,Comte d Urgell 7 Barcelona,Barcelona
147,Citizen Café,1353,4.5,Plaza Urquinaona 4  Barcelona,Barcelona
148,Louro,966,4.5,Rambla del Caputxins 37  Barcelona,Barcelona
149,Citrus Restaurant & Sushi bar,1681,3.5,Passeig de Gracia 44 Barcelona,Barcelona
150,Taco Alto Born,820,4.5,Portal Nou 62 Barcelona,Barcelona
151,Pampero,972,4.5,Plaza Doctor Letamendi 25 Barcelona,Barcelona
152,El Clot Restaurante Barcelona,1042,4.5,Carrer  Aragon 600  Barcelona,Barcelona
153,Bar Bacaro,554,4.5,Carrer  Jerusalem 6 Loc 1  Barcelona,Barcelona
154,Maná 75,573,4.5,Passeig Joan de Borbó 101  Barcelona,Barcelona
155,Ugot Bruncherie,641,4.5,Carrer de Viladomat 138  Barcelona,Barcelona
156,La Gastronómica,359,5.0,Carrer de Calabria 118 Barcelona,Barcelona
157,Arabia Café-Restaurant,1562,4.5,Escudellers 25  Barcelona,Barcelona
158,Nomo Gracia,946,4.0,Carrer Gran de Gràcia 13 Barcelona,Barcelona
159,Pura Vida Cocktails,767,4.5,Carrer dels Mercaders 20  Barcelona,Barcelona
160,National burger Barcelona,1070,4.5,Carrer Nou de la Rambla 22  Barcelona,Barcelona
161,Restaurant Gut,1028,4.5,Carrer Perill 13 Barcelona,Barcelona
162,Can Travi Nou,705,4.0,12 Carrer de Jorge Manrique  Barcelona,Barcelona
163,La Rita,1643,4.0,Aragón 279  Barcelona,Barcelona
164,Out of China,795,4.0,Carrer  Aribau 112  Barcelona,Barcelona
165,Pez Vela Chiringuito,1764,4.0,Paseo del Mare Nostrum 19 21  Barcelona,Barcelona
166,Sasha Bar 1968,656,4.5,Carrer  Margarit 18  Barcelona,Barcelona
167,Kappo Barcelona,261,4.5,Passatge Lluis Pellicer 24  Barcelona,Barcelona
168,Bun Bo Vietnam,1587,4.0,Carrer  Sagristans 3 Barcelona,Barcelona
169,Le Cucine Mandarosso,753,4.0,Verdaguer i Callís 4 Barcelona,Barcelona
170,La Esquinica,1061,4.0,Fabra I Puig 296 Barcelona,Barcelona
171,Cuines Santa Caterina,2512,4.0,Francesc Cambó 16  Barcelona,Barcelona
172,Avinyo 10,2031,4.5,Carrer Avinyo 10  Barcelona,Barcelona
173,espai Kru,981,4.5,Carrer  Lérida 7 Barcelona,Barcelona
