,name,number_reviews,rating,address,city,lat,long
139,Restaurante Los Caracoles,4869,3.5,Carrer d Escudellers 14 Barcelona,Barcelona,,
140,1881 per Sagardi,1041,4.0,Plaça de Pau Vila 3 Barcelona,Barcelona,41.3812783,2.1859628
141,Merendero de la Mari,1326,3.5,Placa Pau Vila 1 Port Vell  Barcelona,Barcelona,,
142,Dos Palillos,1284,4.0,Elisabets 9 Barcelona,Barcelona,41.3833622,2.1686617
143,Brunch & Cake,3008,4.0,Enric Granados 19 Barcelona,Barcelona,41.3882739,2.1615543
144,Restaurante Barceloneta,3390,4.0,Carrer  de l Escar 22 Barcelona,Barcelona,41.3758,2.1874945
145,Agust Gastrobar,1923,4.5,Carrer Parlament 54  Barcelona,Barcelona,41.3772931,2.1638895
146,Restaurante Rokelin Gourmet,837,4.5,Comte d Urgell 7 Barcelona,Barcelona,41.3796635,2.1613976141325866
147,Citizen Café,1353,4.5,Plaza Urquinaona 4  Barcelona,Barcelona,41.3892056,2.1725408
148,Louro,966,4.5,Rambla del Caputxins 37  Barcelona,Barcelona,41.9273381,2.2549312
149,Citrus Restaurant & Sushi bar,1681,3.5,Passeig de Gracia 44 Barcelona,Barcelona,41.391716,2.1659599
150,Taco Alto Born,820,4.5,Portal Nou 62 Barcelona,Barcelona,41.3896941,2.1810119
151,Pampero,972,4.5,Plaza Doctor Letamendi 25 Barcelona,Barcelona,,
152,El Clot Restaurante Barcelona,1042,4.5,Carrer  Aragon 600  Barcelona,Barcelona,,
153,Bar Bacaro,554,4.5,Carrer  Jerusalem 6 Loc 1  Barcelona,Barcelona,,
154,Maná 75,573,4.5,Passeig Joan de Borbó 101  Barcelona,Barcelona,41.3687343,2.1884028
155,Ugot Bruncherie,641,4.5,Carrer de Viladomat 138  Barcelona,Barcelona,41.3811408,2.1554057
156,La Gastronómica,359,5.0,Carrer de Calabria 118 Barcelona,Barcelona,41.3783918,2.1566175
157,Arabia Café-Restaurant,1562,4.5,Escudellers 25  Barcelona,Barcelona,41.3474551,1.6970233
158,Nomo Gracia,946,4.0,Carrer Gran de Gràcia 13 Barcelona,Barcelona,41.4020235,2.1530924
159,Pura Vida Cocktails,767,4.5,Carrer dels Mercaders 20  Barcelona,Barcelona,41.5651516,2.1808339
160,National burger Barcelona,1070,4.5,Carrer Nou de la Rambla 22  Barcelona,Barcelona,41.378448,2.1735229
161,Restaurant Gut,1028,4.5,Carrer Perill 13 Barcelona,Barcelona,41.3998038,2.1620293
162,Can Travi Nou,705,4.0,12 Carrer de Jorge Manrique  Barcelona,Barcelona,41.4314902,2.1535153
163,La Rita,1643,4.0,Aragón 279  Barcelona,Barcelona,38.85591,-1.6450904
164,Out of China,795,4.0,Carrer  Aribau 112  Barcelona,Barcelona,41.3905618,2.1566877
165,Pez Vela Chiringuito,1764,4.0,Paseo del Mare Nostrum 19 21  Barcelona,Barcelona,,
166,Sasha Bar 1968,656,4.5,Carrer  Margarit 18  Barcelona,Barcelona,41.3738083,2.1635878
167,Kappo Barcelona,261,4.5,Passatge Lluis Pellicer 24  Barcelona,Barcelona,41.39332195,2.149982134853918
168,Bun Bo Vietnam,1587,4.0,Carrer  Sagristans 3 Barcelona,Barcelona,41.3850619,2.1750203
169,Le Cucine Mandarosso,753,4.0,Verdaguer i Callís 4 Barcelona,Barcelona,41.3869654,2.1761111
170,La Esquinica,1061,4.0,Fabra I Puig 296 Barcelona,Barcelona,41.4297432,2.1836917
171,Cuines Santa Caterina,2512,4.0,Francesc Cambó 16  Barcelona,Barcelona,41.38613625,2.178504804920665
172,Avinyo 10,2031,4.5,Carrer Avinyo 10  Barcelona,Barcelona,41.8254821,1.8956757
173,espai Kru,981,4.5,Carrer  Lérida 7 Barcelona,Barcelona,41.5407396,2.2122634
174,Milk Bar & Bistro,2683,4.5,Carrer  Gignas 21  Barcelona,Barcelona,41.3813306,2.1801063
175,Conesa Entrepans,912,4.5,Carrer de La Llibreteria 1 Barcelona,Barcelona,41.383052,2.1771014
176,Restaurante Salamanca,4961,3.5,Almirall Cervera 34 Barcelona,Barcelona,41.5676918,1.6400141
177,The George Payne,1424,4.5,Plaza Urquinaona 5 Barcelona,Barcelona,41.3892056,2.1725408
178,Buenos Aires Grill Restaurant Eixample,3392,4.5,Carrer de València 189 Barcelona,Barcelona,41.3894789,2.1585419228448255
179,Surf House Barcelona,1172,4.0,Carrer Almirall Aixada 22  Barcelona,Barcelona,41.3774686,2.1908362
180,B Burger,806,4.5,Carrer D  Arago 36  Barcelona,Barcelona,41.38086385,2.150165662302848
181,Micu Maku,1723,4.5,Carrer d Aribau 22  Barcelona,Barcelona,41.38685815,2.1617614598371544
182,Disfrutar,1929,4.5,Carrer  Villarroel 163 Barcelona,Barcelona,41.387762,2.1531722
183,Elsa y Fred,2776,4.5,Carrer del Rec Comtal 11 Barcelona,Barcelona,41.3897848,2.1798021
184,Tucco Real Food,1437,4.5,Carrer Consolat de Mar 23  Barcelona,Barcelona,41.3823222,2.181995
185,Vegetalia Born,1192,4.5,Pl  Del Fossar de Les Moreres  Barcelona,Barcelona,41.38366225,2.1824056775285774
186,Bilbao Berria,2553,4.0,Placa Nova 3 Barcelona,Barcelona,41.3841976,2.1748665
187,Paradiso,674,4.5,Carrer  Rera Palau 4  Barcelona,Barcelona,,
188,Tempura-Ya,374,4.5,Carrer MUNTANER 153 Barcelona,Barcelona,41.3909575,2.1534749
189,Lolita Taperia,805,4.5,Tamarit 104 Barcelona,Barcelona,41.3760685,2.1577874
190,La Taqueria,809,4.0,Passatge del Font 5  Barcelona,Barcelona,41.598823949999996,1.9308346673733696
191,Bacoa Burger Ferran,1051,4.5,Carrer de Ferran 10 Barcelona,Barcelona,41.380636,2.1746909
192,Restaurant Pelai,590,4.5,Carrer Tallers 62 Barcelona,Barcelona,41.5536948,2.251688
193,BierCaB,745,4.5,Carrer De Muntaner 55  Barcelona,Barcelona,41.3862283,2.1597509
194,Rossini,4342,4.5,Plaza Real 13  Barcelona,Barcelona,41.379902,2.1758524
195,Minamo,385,4.5,Bruc 65  Barcelona,Barcelona,41.3938308,2.1699714
196,Vrutal,609,5.0,Rambla del Poblenou No 16  Barcelona,Barcelona,41.4002122,2.2023412
197,Luigi Ristorante,1405,4.5,Roger de Lluria 50 Barcelona,Barcelona,41.3892157,2.1835839
198,Osmosis,1514,4.5,Aribau 100  Barcelona,Barcelona,41.3903366,2.1571934
199,Alba Granados,939,4.0,Enric Granados 34  Barcelona,Barcelona,41.39058145,2.159122579459849
200,Restaurante  Koh-i-noor india,725,4.5,Carrer del Marques de Campo Sagrado 3 Barcelona,Barcelona,41.3755898,2.1634835
201,Bacoa,663,4.5,Carrer de Colomines 2 Barcelona,Barcelona,41.385604,2.1790402
202,Napoletani Restaurant,598,4.5,Diputacio 101  Barcelona,Barcelona,41.38204475,2.155528539245757
203,Buon Appetito,860,4.5,Av  Marques de la argentera 19 Barcelona,Barcelona,,
204,Restaurante Can Fusté,450,4.5,Gran via de Carlos III 52 Barcelona,Barcelona,,
205,Cu-Cut,793,4.5,Carrer Enric Granados 68  Barcelona,Barcelona,41.5327952,2.0728404
206,Caramba Tapas,651,4.5,Carrer de la Cera 57  Barcelona,Barcelona,41.3776929,2.1648851
207,Totoro,326,4.0,Carrer de la Legalitat 74 Barcelona,Barcelona,41.4080907,2.1604514
208,Parking Pizza,459,4.0,Carrer  Londres 98 Barcelona,Barcelona,41.5965593,2.2792652
209,Senyor Vermut,399,4.0,Provenca 85 Barcelona,Barcelona,41.38600185,2.1494960208890994
210,Granja Petitbo,810,4.0,Passeig de Sant Joan 82 Barcelona,Barcelona,41.3976109,2.1724897
211,Sabes una cosa,334,4.5,Carrer  Tordera 52  Barcelona,Barcelona,41.5917792,2.57999
212,Gatsby Barcelona,530,3.5,Carrer  Tuset 19  Barcelona,Barcelona,41.3963322,2.1513842
213,El Rincón,1298,4.5,Carrer del Carme 28 Barcelona,Barcelona,41.6457837,2.7413798
214,Xemei,645,4.0,Paseo De La Exposicion 85  Barcelona,Barcelona,,
215,Can Sole,829,4.0,Carrer  Sant Carles 4 Barcelona,Barcelona,41.3682946,2.0989550887320982
216,El Argentino,1281,4.0,Arago 224  Barcelona,Barcelona,41.3885123,2.160326
217,Ceviche 103,792,4.0,Carrer de Londres 103 Barcelona,Barcelona,41.3936613,2.1508045
218,Taller de Tapas - Argenteria,2183,4.0,Argenteria 51 Barcelona,Barcelona,41.3836567,2.1805856
219,El Nacional,5981,4.0,Paseo de Gracia 24 bis Barcelona,Barcelona,,
220,Restaurante Igueldo,696,4.5,Carrer  Rossello 186  Barcelona,Barcelona,41.7320892,1.8287143
221,Restaurant Ca L'Estevet,531,4.5,Carrer Valldonzella 46  Barcelona,Barcelona,41.383324099999996,2.1647377390332205
222,Passadís del Pep,849,4.0,Pla del Palau 2 Barcelona,Barcelona,41.59211945,2.1796828729392326
223,Nomo Galvany,498,4.0,Madrazo 135 Barcelona,Barcelona,41.3965594,2.1442468
224,La Venta,544,4.0,Plaza Doctor Andreu  Barcelona,Barcelona,41.55539685,2.4989531552137794
225,Matsuri Sushi Bar,807,4.5,Plaça del Regomir 1  Barcelona,Barcelona,41.3816781,2.1788077
226,Aladdin restaurante,923,4.5,Avinguda de Gaudi 50 Barcelona,Barcelona,41.4086252,2.1745208
227,Monvinic,690,4.5,Diputacio 249 Barcelona,Barcelona,41.38919385,2.1646991509313374
228,Mediterráneo Ristorante,562,4.5,Carrer de Josep Pla 19 Barcelona,Barcelona,41.4082807,2.216443
229,Patagonia Beef & Wine,2050,4.5,Gran Via de Les Corts Catalanes 660 Barcelona,Barcelona,41.3911105,2.1709701
230,Güell Tapas,2215,4.5,Carrer Nou de la Rambla 20 Barcelona,Barcelona,41.3786129,2.1736937
231,Oval,759,4.0,Valencia 199  Barcelona,Barcelona,41.389758,2.1591953
232,La Fabrica,953,4.5,Plaza la Llana 15 Barcelona,Barcelona,,
233,Bar La Plata,765,4.5,Mercè 28  Barcelona,Barcelona,41.3804429,2.1805994
234,Tucco Real Food Eixample,348,5.0,Carrer Consell de Cent 247 Barcelona,Barcelona,41.6874889,2.4848143
235,Pastelería Hofmann,592,4.5,Carrer dels Flassaders 44 Barcelona,Barcelona,41.3850546,2.1826676
236,La Caleta de Sants,466,4.5,Carretera de la Bordeta 54 Barcelona,Barcelona,41.373153,2.1440975
237,Craft Barcelona,268,4.5,Carrer  Paradis 4  Barcelona,Barcelona,41.3831558,2.176977
238,Gran Viana,504,5.0,Carrer Dels Escudellers 24  Barcelona,Barcelona,41.3798549,2.1767194
239,Hummus Barcelona Vegetarian Street Food,518,4.5,Valencia 227  Barcelona,Barcelona,41.391285,2.1612086
240,Wok to Walk,1352,4.5,Carrer de Sant Pau 27 Barcelona,Barcelona,41.2258388,1.7248119
241,Shanghai,268,4.0,Bisbe Sivilla 48 Barcelona,Barcelona,41.4042451,2.1346425
242,Taps,1109,4.5,Carrer  Mare de Déu del Remei 53 Barcelona,Barcelona,,
243,Taverna El Glop,1506,4.0,Carrer  Sant Lluis 24  Barcelona,Barcelona,41.6835202,2.2869029
244,Mannà Gelats,1060,5.0,Carrer dels Banys Nous 22  Barcelona,Barcelona,41.383077,2.1745649
245,Santa Rita Experience,497,5.0,Carrer de Veneçuela 16  Barcelona,Barcelona,41.4084461,2.2051908
246,Restaurante Fukamura,296,4.5,Carrer  Corsega 479  Barcelona,Barcelona,41.403654386666666,2.16861038
247,Sumac & Mambo,393,5.0,Carrer D enric Granados  Barcelona,Barcelona,41.3881736,2.1619683
248,Bar Rodrigo,1082,4.5,Argenteria 67  Barcelona,Barcelona,41.3835764,2.1813802
249,Tandoor,450,4.0,Carrer d Aragó 8 Barcelona,Barcelona,41.2317586,1.7273719
250,Tragaluz,1076,4.0,Passatge De La Concepcion Number 5 Barcelona,Barcelona,,
251,Can Ramonet,1220,3.5,Carrer  Maquinista 17 Barcelona,Barcelona,41.4397038,2.1995668
252,Acontraluz,398,3.5,Milanesat 19 Barcelona,Barcelona,41.3976378,2.1295053
253,Shoko,1485,3.5,Paseo Maritimo de la Barceloneta 36 Barcelona,Barcelona,,
254,Ocaña,1771,3.5,Plaça Reial 13 15 Barcelona,Barcelona,41.38009085,2.1750157104781973
255,Aqui Quedamos,281,4.5,Violant D hongria Reina D arago 60 Barcelona,Barcelona,41.3785724,2.129956
256,Monster Sushi,1176,4.5,Gala Placidia 25  Barcelona,Barcelona,,
257,EatMyTrip - Brunch & Bakery Barcelona,620,4.5,Carrer del Consell de Cent 378 Barcelona,Barcelona,41.3951279,2.1713149
258,Agreste de Fabio & Roser,292,4.5,Carrer Funoses Llussà 2  Barcelona,Barcelona,41.4199131,2.1487541
259,Spark,284,4.5,Carrer  Diputacion 329 Barcelona,Barcelona,,
