,0
1128,waited
1129,u
1130,cherry
1131,elsie
1132,vangie
1133,running
1134,plate
1135,busy
1136,getting
1137,place
1138,order
1139,moving
1140,plate
1141,cleaning
1142,etc
1143,thank
1144,girl
1145,run
1146,joint
1147,overall
1148,loved
1149,would
1150,go
1151,back
1152,place
1153,everything
1154,going
1155,good
1156,location
1157,buzz
1158,clearly
1159,excellent
1160,word
1161,mouth
1162,came
1163,year
1164,ago
1165,returned
1166,weekend
1167,year
1168,recommended
1169,many
1170,go
1171,outside
1172,put
1173,name
1174,list
1175,get
1176,told
1177,waiting
1178,time
1179,come
1180,back
1181,drink
1182,elsewhere
1183,good
1184,food
1185,pretty
1186,incredible
1187,especially
1188,huevos
1189,cabreados
1190,honey
1191,cod
1192,wine
1193,also
1194,issue
1195,issue
1196,restaurant
1197,keen
1198,get
1199,fed
1200,outside
1201,speed
1202,customer
1203,turnover
1204,prevent
1205,many
1206,disappointed
1207,wait
1208,time
1209,felt
1210,like
1211,bit
1212,fast
1213,food
1214,experience
1215,send
1216,croquette
1217,back
1218,arrived
1219,suspiciously
1220,quickly
1221,cold
1222,middle
1223,good
1224,manner
1225,britishness
1226,prevented
1227,u
1228,sending
1229,back
1230,second
1231,time
1232,still
1233,arrived
1234,luke
1235,warm
1236,second
1237,finished
1238,last
1239,bite
1240,dish
1241,gone
1242,front
1243,serving
1244,staff
1245,practically
1246,running
1247,around
1248,serving
1249,know
1250,busy
1251,know
1252,delicious
1253,strike
1254,right
1255,balance
1256,ensure
1257,people
1258,feel
1259,rushed
1260,maybe
1261,longer
1262,waiting
1263,time
1264,manage
1265,people
1266,expectation
1267,would
1268,return
1269,continue
1270,recommend
1271,tell
1272,people
1273,rushed
1274,let
1275,rush
1276,never
1277,never
1278,want
1279,share
1280,disappointment
1281,place
1282,bad
1283,service
1284,terrible
1285,food
1286,ordered
1287,several
1288,tapa
1289,waitress
1290,decided
1291,going
1292,place
1293,order
1294,asked
1295,didnt
1296,bring
1297,order
1298,said
1299,dont
1300,live
1301,slave
1302,time
