,0
943,back
944,time
945,think
946,city
947,restaurant
948,comes
949,mind
950,first
951,food
952,excellent
953,best
954,staff
955,nice
956,price
957,reasonable
958,yes
959,line
960,often
961,long
962,worth
963,wait
964,go
965,back
966,barcelona
967,restaurant
968,first
969,stop
970,busy
971,buzzy
972,see
973,queue
974,think
975,go
976,elsewhere
977,move
978,fairly
979,quickly
980,waited
981,minutes
982,table
983,around
984,sunday
985,evening
986,staff
987,friendly
988,restaurant
989,spotlessly
990,clean
991,food
992,excellent
993,two
994,us
995,shared
996,red
997,prawns
998,razor
999,clams
1000,beef
1001,whitebait
1002,followed
1003,kind
1004,bread
1005,pudding
1006,churros
1007,plus
1008,jug
1009,sangria
1010,everything
1011,excellent
1012,first
1013,work
1014,trip
1015,barcelona
1016,since
1017,pandemic
1018,began
1019,used
1020,always
1021,go
1022,santa
1023,catarina
1024,razor
1025,clams
1026,changed
1027,menu
1028,found
1029,way
1030,cerveseria
1031,catalana
1032,fantastic
1033,find
1034,hugely
1035,popular
1036,quite
1037,queue
1038,well
1039,worth
1040,wait
1041,razor
1042,clams
1043,fabulous
1044,anchovy
1045,montadito
1046,croquettes
1047,burnt
1048,sant
1049,teresa
1050,torrija
1051,house
1052,chardonnay
1053,reasonably
1054,priced
1055,sherwin
1056,waiter
1057,excellent
1058,raved
1059,restaurant
1060,first
1061,visited
1062,seems
1063,service
1064,food
1065,taken
1066,nosedive
1067,ate
1068,around
1069,may
1070,slow
1071,early
1072,everything
1073,seemed
1074,slow
1075,mediocre
1076,ordered
1077,different
1078,types
1079,tapas
1080,liked
1081,location
1082,suggest
1083,trying
1084,local
1085,restaurants
1086,lunch
1087,twice
1088,moment
1089,walked
1090,felt
1091,welcomed
1092,maitre
1093,rachez
1094,wasan
1095,incredible
1096,host
1097,made
1098,feel
1099,great
1100,even
1101,wait
1102,food
1103,incredible
1104,multiple
1105,shrimp
1106,types
1107,potatas
1108,bravas
1109,beef
1110,tenderloin
1111,mini
1112,burgers
1113,calamari
1114,fist
1115,etc
1116,sangria
1117,die
1118,one
1119,thing
1120,note
1121,girls
1122,waited
1123,us
1124,cherry
1125,elsie
1126,vangie
1127,running
1128,plates
1129,busy
1130,getting
1131,place
1132,order
1133,moving
1134,plates
1135,cleaning
1136,etc
1137,thank
1138,girls
1139,run
1140,joint
1141,overall
1142,loved
1143,would
1144,go
1145,back
1146,place
1147,everything
1148,going
1149,good
1150,location
1151,buzz
1152,clearly
1153,excellent
1154,word
1155,mouth
1156,came
1157,years
1158,ago
1159,returned
1160,weekend
1161,years
1162,recommended
1163,many
1164,go
1165,outside
1166,put
1167,name
1168,list
1169,get
1170,told
1171,waiting
1172,time
1173,come
1174,back
1175,drink
1176,elsewhere
1177,good
1178,food
1179,pretty
1180,incredible
1181,especially
1182,huevos
1183,cabreados
1184,honey
1185,cod
1186,wine
1187,also
1188,issue
1189,issue
1190,restaurant
1191,keen
1192,get
1193,fed
1194,outside
1195,speed
1196,customer
1197,turnover
1198,prevent
1199,many
1200,disappointed
1201,wait
1202,time
1203,felt
1204,like
1205,bit
1206,fast
1207,food
1208,experience
1209,send
1210,croquettes
1211,back
1212,arrived
1213,suspiciously
1214,quickly
1215,cold
1216,middle
1217,good
1218,manners
1219,britishness
1220,prevented
1221,us
1222,sending
1223,back
1224,second
1225,time
1226,still
1227,arrived
1228,luke
1229,warm
1230,second
1231,finished
1232,last
1233,bite
1234,dish
1235,gone
1236,front
1237,serving
1238,staff
1239,practically
1240,running
1241,around
1242,serving
1243,know
1244,busy
1245,know
1246,delicious
1247,strike
1248,right
1249,balance
1250,ensure
1251,people
1252,feel
1253,rushed
1254,maybe
1255,longer
1256,waiting
1257,times
1258,manage
1259,people
1260,expectations
1261,would
1262,return
1263,continue
1264,recommend
1265,tell
1266,people
1267,rushed
1268,let
1269,rush
1270,never
1271,never
1272,want
1273,share
1274,disappointment
1275,place
1276,bad
1277,service
1278,terrible
1279,food
1280,ordered
1281,several
1282,tapas
1283,waitress
1284,decided
1285,going
1286,place
1287,order
1288,asked
1289,bring
1290,order
1291,said
1292,live
1293,slave
1294,time
1295,anymore
1296,surprised
1297,answer
1298,requested
1299,please
1300,speak
1301,manager
1302,found
1303,waa
1304,manager
1305,moved
1306,screaming
1307,yelling
1308,behaving
1309,terrible
1310,person
1311,forgot
1312,service
1313,job
1314,left
1315,place
1316,never
1317,return
1318,waste
1319,time
1320,money
1321,place
1322,find
1323,instead
1324,better
1325,tapas
1326,places
1327,barcelona
1328,staff
1329,extremely
1330,friendly
1331,attentive
1332,first
1333,time
1334,trying
1335,tapas
1336,sure
1337,order
1338,waiter
1339,ordered
1340,us
1341,suggestions
1342,good
1343,dessert
1344,definitely
1345,coming
1346,back
1347,often
1348,concierge
1349,recommended
1350,place
1351,us
1352,ate
1353,every
1354,day
1355,whilst
1356,barcelona
1357,mainly
1358,lunch
1359,booking
1360,prepared
1361,rammed
1362,every
1363,day
1364,really
1365,rammed
1366,week
1367,end
1368,thought
1369,food
1370,fantastic
1371,represented
1372,fantastic
1373,value
1374,dishes
1375,change
1376,daily
1377,thought
1378,great
1379,pictures
1380,attached
1381,particular
1382,favourite
1383,cabreaos
1384,eggs
1385,spicy
1386,eggs
1387,bit
1388,play
1389,eggs
1390,chips
1391,like
1392,euro
1393,tried
1394,menu
1395,particularly
1396,loved
1397,seafood
1398,tomato
1399,bread
1400,definitely
1401,coming
1402,back
1403,return
1404,barcelona
1405,perfect
1406,tapas
1407,incredible
1408,nothing
1409,else
1410,say
1411,gambas
1412,shrimps
1413,waiting
1414,time
1415,worth
1416,enjoy
1417,went
1418,dinner
1419,expunge
1420,quality
1421,received
1422,also
1423,ordered
1424,dish
1425,saying
1426,salat
1427,included
1428,arrived
1429,without
1430,explanation
1431,made
1432,meat
1433,bigger
1434,explains
1435,salad
1436,silly
1437,pricey
1438,fantastic
